Date,Month,Year,Volume_Million,Value_Crore
2022-06-13,June,2022,200.668,37447.27
2022-06-14,June,2022,198.669,34441.89
2022-06-15,June,2022,204.031,35105.4
2022-06-16,June,2022,201.736,34093.76
2022-06-17,June,2022,196.292,32304.39
2022-06-18,June,2022,181.897,29385.68
2022-06-19,June,2022,167.082,22291.5
2022-06-20,June,2022,187.808,34282.55
2022-06-21,June,2022,190.454,32914.38
2022-06-22,June,2022,188.55,31969.65
2022-06-23,June,2022,185.426,30994.9
2022-06-24,June,2022,190.489,31022.28
2022-06-25,June,2022,189.802,29437.83
2022-06-26,June,2022,186.508,23014.68
2022-06-27,June,2022,190.878,33292.2
2022-06-28,June,2022,189.408,31772.75
2022-06-29,June,2022,182.197,31620.08
2022-06-30,June,2022,179.881,37246.08
2022-07-01,July,2022,211.038,43831.02
2022-07-02,July,2022,213.415,42108.81
2022-07-03,July,2022,204.951,32114.33
2022-07-04,July,2022,209.317,42995.32
2022-07-05,July,2022,207.794,41456.59
2022-07-06,July,2022,209.344,39822.21
2022-07-07,July,2022,212.026,39624.23
2022-07-08,July,2022,207.958,37817.79
2022-07-09,July,2022,210.071,35896.16
2022-07-10,July,2022,193.244,26632.94
2022-07-11,July,2022,200.096,37142.02
2022-07-12,July,2022,201.121,35038.16
2022-07-13,July,2022,198.95,34242.77
2022-07-14,July,2022,202.358,34743.09
2022-07-15,July,2022,201.9,33702.42
2022-07-16,July,2022,201.356,32704.58
2022-07-17,July,2022,197.548,25086.78
2022-07-18,July,2022,198.021,33652.23
2022-07-19,July,2022,199.715,32665.89
2022-07-20,July,2022,206.007,34113.78
2022-07-21,July,2022,199.559,32083.3
2022-07-22,July,2022,198.487,30587.13
2022-07-23,July,2022,196.115,29270.86
2022-07-24,July,2022,192.239,23283.4
2022-07-25,July,2022,196.387,33362.36
2022-07-26,July,2022,195.114,31535.55
2022-07-27,July,2022,203.082,32141.8
2022-07-28,July,2022,197.107,31311.84
2022-07-29,July,2022,203.044,35222.25
2022-07-30,July,2022,213.219,38375.84
2022-07-31,July,2022,207.818,30551.59
2022-08-01,August,2022,217.127,43568.17
2022-08-02,August,2022,223.153,42085.99
2022-08-03,August,2022,211.576,38693.87
2022-08-04,August,2022,216.876,40079.82
2022-08-05,August,2022,205.425,35859.8
2022-08-06,August,2022,224.874,39064.52
2022-08-07,August,2022,212.483,29906.75
2022-08-08,August,2022,216.201,39627.08
2022-08-09,August,2022,210.464,34997.87
2022-08-10,August,2022,225.823,41043.38
2022-08-11,August,2022,223.559,36349.91
2022-08-12,August,2022,209.452,33508.36
2022-08-13,August,2022,208.753,32266.78
2022-08-14,August,2022,199.248,25307.67
2022-08-15,August,2022,194.664,25414.14
2022-08-16,August,2022,208.737,35358.46
2022-08-17,August,2022,213.404,36034.3
2022-08-18,August,2022,214.522,35365.86
2022-08-19,August,2022,207.271,31204.93
2022-08-20,August,2022,210.398,33072.27
2022-08-21,August,2022,201.259,25174.59
2022-08-22,August,2022,209.81,35304.68
2022-08-23,August,2022,206.506,33735.52
2022-08-24,August,2022,208.278,33988.13
2022-08-25,August,2022,210.628,34666.38
2022-08-26,August,2022,205.14,32104.76
2022-08-27,August,2022,214.653,31003.69
2022-08-28,August,2022,213.336,24581.62
2022-08-29,August,2022,213.882,36565.66
2022-08-30,August,2022,225.578,40909.83
2022-08-31,August,2022,216.548,36317.38
2022-09-01,September,2022,231.202,46102.69
2022-09-02,September,2022,234.438,42755.56
2022-09-03,September,2022,234.342,41387.77
2022-09-04,September,2022,222.21,32092.83
2022-09-05,September,2022,232.118,44581.11
2022-09-06,September,2022,228.842,41284.01
2022-09-07,September,2022,229.887,41648.13
2022-09-08,September,2022,226.981,39016.03
2022-09-09,September,2022,222.049,37027.98
2022-09-10,September,2022,224.938,36076.21
2022-09-11,September,2022,222.264,28818.13
2022-09-12,September,2022,224.262,39419.29
2022-09-13,September,2022,221.911,37206.64
2022-09-14,September,2022,225.362,37938.12
2022-09-15,September,2022,224.568,37563.76
2022-09-16,September,2022,225.526,36237.8
2022-09-17,September,2022,226.725,33100.06
2022-09-18,September,2022,214.049,25809.84
2022-09-19,September,2022,220.334,36275.55
2022-09-20,September,2022,222.249,35652.81
2022-09-21,September,2022,222.264,35651.91
2022-09-22,September,2022,225.365,37245.02
2022-09-23,September,2022,224.082,35202.31
2022-09-24,September,2022,225.485,33468.05
2022-09-25,September,2022,222.462,26617.01
2022-09-26,September,2022,226.406,38681.13
2022-09-27,September,2022,224.349,37077.33
2022-09-28,September,2022,229.403,37494.05
2022-09-29,September,2022,226.141,38173.16
2022-09-30,September,2022,240.586,46833.8
2022-10-01,October,2022,258.647,50382.75
2022-10-02,October,2022,248.364,39039.52
2022-10-03,October,2022,248.021,47218.26
2022-10-04,October,2022,239.69,42082.91
2022-10-05,October,2022,227.201,34258.45
2022-10-06,October,2022,233.147,41501.46
2022-10-07,October,2022,232.971,41204.09
2022-10-08,October,2022,236.574,39710.25
2022-10-09,October,2022,229.061,32190.94
2022-10-10,October,2022,241.002,47027.29
2022-10-11,October,2022,243.491,43642.01
2022-10-12,October,2022,245.081,42412.68
2022-10-13,October,2022,239.986,40387.93
2022-10-14,October,2022,235.274,38748.95
2022-10-15,October,2022,241.634,39499.74
2022-10-16,October,2022,238.485,31327.83
2022-10-17,October,2022,235.707,40125.1
2022-10-18,October,2022,240.264,39917.14
2022-10-19,October,2022,245.866,40856.85
2022-10-20,October,2022,242.704,42218.85
2022-10-21,October,2022,251.4,44598.12
2022-10-22,October,2022,260.812,44832.58
2022-10-23,October,2022,252.011,36622.22
2022-10-24,October,2022,223.328,27690.79
2022-10-25,October,2022,198.831,29351.82
2022-10-26,October,2022,214.452,32555.4
2022-10-27,October,2022,214.957,34451.97
2022-10-28,October,2022,216.242,36086.52
